pathway,path,pval,pval_adj,'-log10(pval_adj),relative_enrichment,MiRNA_1,MiRNA_2,MiRNA_3,MiRNA_4,MiRNA_5,MiRNA_6,MiRNA_7,MiRNA_8,MiRNA_9,MiRNA_10,MiRNA_11,MiRNA_12,MiRNA_13,MiRNA_14,MiRNA_15,MiRNA_16,MiRNA_17,MiRNA_18
FGFR1b ligand binding and activation,FGFR,7.55471693938579E-005,0.0015154786,2.8194501827,9.6783625731,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,
Programmed Cell Death,Cell death,0.000072639,0.0015154786,2.8194501827,2.2244623656,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,
Adaptive Immune System,,7.60067793167528E-005,0.0015154786,2.8194501827,2.0361399462,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-93-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p,,
Signaling by FGFR1 amplification mutants,FGFR,7.3091592657483E-005,0.0015154786,2.8194501827,14.7111111111,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-214-3p, hsa-miR-16-5p,,,,,,,,,,,,,,
RHO GTPase cycle,,7.49605707322055E-005,0.0015154786,2.8194501827,2.6414978514,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,
Association of TriC/CCT with target proteins during biosynthesis,,8.16545840494946E-005,0.0015408326,2.81224454,3.5706580367,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-130b-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,,,,,,
SUMOylation of transcription cofactors,,7.86412061299285E-005,0.0015408326,2.81224454,4.7455197133,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-130b-3p, hsa-miR-140-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,,,,,,,,
Signaling by Nuclear Receptors,,8.00574400924377E-005,0.0015408326,2.81224454,2.0291187739,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-93-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p,,
Signaling by NOTCH3,NOTCH,8.16545840494946E-005,0.0015408326,2.81224454,3.5706580367,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-132-3p,,,,,,,,
FOXO-mediated transcription,,8.45108505126146E-005,0.0015742855,2.8029165159,2.3948320413,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-93-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-132-3p, hsa-miR-21-3p,,,,
Signaling by BMP,,8.60421188218307E-005,0.0015825215,2.8006503805,4.0365853659,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-195-5p,,,,,,,,,
Interleukin-1 signaling,Interleukin,0.000089196,0.001600022,2.7958740566,3.5363247863,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,
CDK-mediated phosphorylation and removal of Cdc6,,8.87723090236984E-005,0.001600022,2.7958740566,4.6701940035,hsa-miR-424-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,
Signaling by NOTCH1 in Cancer,NOTCH,9.62521101961254E-005,0.001626213,2.7888225773,3.136089578,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-195-5p,,,,,,,
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,NOTCH,9.62521101961254E-005,0.001626213,2.7888225773,3.136089578,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-195-5p,,,,,,,
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,NOTCH,9.62521101961254E-005,0.001626213,2.7888225773,3.136089578,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-195-5p,,,,,,,
Constitutive Signaling by NOTCH1 PEST Domain Mutants,NOTCH,9.62521101961254E-005,0.001626213,2.7888225773,3.136089578,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-195-5p,,,,,,,
Signaling by NOTCH1 PEST Domain Mutants in Cancer,NOTCH,9.62521101961254E-005,0.001626213,2.7888225773,3.136089578,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-195-5p,,,,,,,
Metabolism of lipids,,0.0001007543,0.0016266228,2.7887131469,2.3618756371,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,,
Signaling by Leptin,,9.99795244742811E-005,0.0016266228,2.7887131469,4.5972222222,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-21-3p,,,,,,,,,,
Pre-NOTCH Transcription and Translation,NOTCH,9.88995029894583E-005,0.0016266228,2.7887131469,2.8290598291,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,
RUNX3 regulates NOTCH signaling,NOTCH,9.99795244742811E-005,0.0016266228,2.7887131469,4.5972222222,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p,,,,,,,,,,
DDX58/IFIH1-mediated induction of interferon-alpha/beta,,0.000106106,0.0016941987,2.7710356657,3.4696016771,hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-195-5p,,,,,,,,
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,,0.0001134402,0.0017309365,2.7617188562,2.7932489451,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-93-3p, hsa-miR-130b-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,
Pre-NOTCH Expression and Processing,NOTCH,0.0001134402,0.0017309365,2.7617188562,2.7932489451,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,
Transcriptional Regulation by TP53,,0.000114472,0.0017309365,2.7617188562,1.9812944257,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p,,
Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,Interleukin,0.0001123526,0.0017309365,2.7617188562,4.5264957265,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-93-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,,,,,,,,
Signal transduction by L1,,0.0001155546,0.0017309365,2.7617188562,3.4371754933,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-132-3p,,,,,,,,
Interleukin-6 signaling,Interleukin,0.0001123526,0.0017309365,2.7617188562,4.5264957265,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-21-3p,,,,,,,,,,
Toll Like Receptor TLR6:TLR2 Cascade,,0.0001213958,0.0017464172,2.7578519947,2.7756813417,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,
Toll Like Receptor TLR1:TLR2 Cascade,,0.0001213958,0.0017464172,2.7578519947,2.7756813417,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,
MyD88:MAL(TIRAP) cascade initiated on plasma membrane,,0.0001213958,0.0017464172,2.7578519947,2.7756813417,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,
Toll Like Receptor 2 (TLR2) Cascade,,0.0001213958,0.0017464172,2.7578519947,2.7756813417,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,
Biosynthesis of DHA-derived SPMs,,0.000127833,0.0018020885,2.7442238801,8.7566137566,hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-21-3p,,,,,,,,,,,,,
RHOBTB3 ATPase cycle,,0.000127833,0.0018020885,2.7442238801,8.7566137566,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-195-5p,,,,,,,,,,,,,
Signaling by BRAF and RAF1 fusions,,0.0001302266,0.0018020885,2.7442238801,3.0417710944,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,
Downstream signal transduction,,0.0001302266,0.0018020885,2.7442238801,3.0417710944,hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-21-3p,,,,,,,
Signaling by TGF-beta Receptor Complex,,0.0001404952,0.0019078457,2.7194567589,2.5031995346,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-93-3p, hsa-miR-130b-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,
Infection with Mycobacterium tuberculosis,,0.0001395145,0.0019078457,2.7194567589,6.4901960784,hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-101-3p, hsa-miR-132-3p,,,,,,,,,,,,
Chaperonin-mediated protein folding,,0.0001610014,0.0020916483,2.679511335,3.3133133133,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-130b-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,,,,,,
Downstream TCR signaling,,0.0001621803,0.0020916483,2.679511335,2.9746732026,hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,,,,,
Cytokine Signaling in Immune system,,0.0001625407,0.0020916483,2.679511335,1.6107055961,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-93-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p
Biosynthesis of specialized proresolving mediators (SPMs),,0.0001626678,0.0020916483,2.679511335,8.3585858586,hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-21-3p,,,,,,,,,,,,,
Protein folding,,0.0001610014,0.0020916483,2.679511335,3.3133133133,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-130b-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,,,,,,
Factors involved in megakaryocyte development and platelet production,,0.0001621803,0.0020916483,2.679511335,2.9746732026,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-195-5p,,,,,,,
FGFR1c and Klotho ligand binding and activation,FGFR,0.0001664523,0.0021030885,2.6771424489,12.2592592593,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-214-3p, hsa-miR-16-5p,,,,,,,,,,,,,,
Signaling by plasma membrane FGFR1 fusions,FGFR,0.0001664523,0.0021030885,2.6771424489,12.2592592593,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-214-3p, hsa-miR-16-5p,,,,,,,,,,,,,,
Signaling by MET,,0.0001690452,0.0021174369,2.6741895183,2.6910569106,hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-21-3p,,,,,,
Cellular responses to stimuli,,0.0001732649,0.0021335077,2.6709057796,1.7711677683,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p,
Cellular responses to stress,,0.0001732649,0.0021335077,2.6709057796,1.7711677683,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p,
Notch-HLH transcription pathway,NOTCH,0.0001754909,0.0021427582,2.6690268379,4.2640901771,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p,,,,,,,,,,
Phospholipid metabolism,,0.0001871062,0.002265544,2.6448274902,2.9315619968,hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-21-3p,,,,,,,
RAC1 GTPase cycle,,0.0001890033,0.0022696021,2.6440502835,3.2546705998,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,
Switching of origins to a post-replicative state,,0.0001952337,0.0022876987,2.6406011822,4.2031746032,hsa-miR-424-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,
Nuclear events stimulated by ALK signaling in cancer,,0.0001952337,0.0022876987,2.6406011822,4.2031746032,hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-130b-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-21-3p,,,,,,,,,,
DNA Damage/Telomere Stress Induced Senescence,,0.0001923065,0.0022876987,2.6406011822,2.6586345382,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,
Interleukin-6 family signaling,Interleukin,0.0002167997,0.0024803938,2.6054793605,4.1439749609,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-21-3p,,,,,,,,,,
L1CAM interactions,,0.0002153095,0.0024803938,2.6054793605,2.8896825397,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-132-3p,,,,,,,
Synthesis of DNA,,0.0002167997,0.0024803938,2.6054793605,4.1439749609,hsa-miR-424-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,
Regulation of RUNX1 Expression and Activity,,0.0002211043,0.0025098798,2.6003470711,3.1980676329,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,
Toll Like Receptor 3 (TLR3) Cascade,,0.0002307506,0.0025790812,2.5885349833,2.8691883373,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,
Oncogenic MAPK signaling,,0.0002307506,0.0025790812,2.5885349833,2.8691883373,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,
Synthesis of PIPs at the plasma membrane,,0.0002388421,0.0026254474,2.5807966823,3.1704980843,hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-21-3p,,,,,,,,
PI5P,,0.0002389845,0.0026254474,2.5807966823,2.3905555556,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,
Interleukin-12 signaling,Interleukin,0.0002403197,0.0026254474,2.5807966823,4.0864197531,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-93-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,,,,,,,,
Signaling by activated point mutants of FGFR1,FGFR,0.0002538437,0.0027321108,2.5635016925,7.662037037,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,
FGFR1c ligand binding and activation,FGFR,0.0002538437,0.0027321108,2.5635016925,7.662037037,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,
Interleukin-23 signaling,Interleukin,0.0002683324,0.002804942,2.5520761122,5.8070175439,hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-21-3p,,,,,,,,,,,,
NOTCH2 Activation and Transmission of Signal to the Nucleus,NOTCH,0.0002683324,0.002804942,2.5520761122,5.8070175439,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-130b-3p,,,,,,,,,,,,
Metabolism of vitamins and cofactors,,0.0002645206,0.002804942,2.5520761122,3.5212765957,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,
Regulation of TP53 Degradation,,0.0002645481,0.002804942,2.5520761122,2.8290598291,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p,,,,,,,
Regulated Necrosis,,0.0002780158,0.0028854064,2.5397930159,3.1167608286,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-21-3p,,,,,,,,
MyD88-independent TLR4 cascade ,,0.0002830052,0.0028874828,2.5394805959,2.8094135802,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,
Platelet activation,,0.0002872413,0.0028874828,2.5394805959,2.1725269573,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,
Regulation of PTEN mRNA translation,,0.0002881521,0.0028874828,2.5394805959,3.4842105263,hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-21-3p,,,,,,,,,
